T [s]	Ux [V]	Uy [V]
7,863133	-1,381546	0,008906
7,873133	-1,387919	0,005078
7,883133	-1,384095	0,006354
7,893133	-1,389194	0,00763
7,903133	-1,384095	0,008906
7,913133	-1,381546	0,010181
7,923133	-1,38537	0,006354
7,933133	-1,381546	0,011457
7,943133	-1,381546	0,008906
7,960496	-1,38537	0,005078
7,970496	-1,38537	0,00763
7,980496	-1,381546	0,006354
7,990496	-1,381546	0,006354
8,000496	-1,384095	0,00763
8,010496	-1,38537	0,00763
8,020496	-1,384095	0,006354
8,030496	-1,382821	0,008906
8,040496	-1,382821	0,006354
8,050496	-1,381546	0,008906
8,078101	-1,381546	0,008906
8,088101	-1,38537	0,008906
8,098101	-1,38537	0,008906
8,108101	-1,381546	0,008906
8,118101	-1,38537	0,008906
8,128101	-1,382821	0,008906
8,138101	-1,384095	0,006354
8,148101	-1,38537	0,002526
8,158101	-1,384095	0,006354
8,168101	-1,381546	0,008906
8,191973	-1,38537	0,008906
8,201973	-1,381546	0,008906
8,211973	-1,38537	0,005078
8,221973	-1,384095	0,006354
8,231973	-1,381546	0,008906
8,241973	-1,38537	0,006354
8,251973	-1,387919	0,003802
8,261973	-1,387919	0,005078
8,271973	-1,387919	0,006354
8,281973	-1,381546	0,008906
8,305898	-1,381546	0,00763
8,315898	-1,381546	0,008906
8,325898	-1,382821	0,008906
8,335898	-1,38537	0,006354
8,345898	-1,384095	0,002526
8,355898	-1,386645	0,006354
8,365898	-1,384095	0,003802
8,375898	-1,38537	0,006354
8,385898	-1,381546	0,005078
8,395898	-1,384095	0,008906
8,413916	-1,387919	0,002526
8,423916	-1,384095	0,006354
8,433916	-1,38537	0,002526
8,443916	-1,381546	0,008906
8,453916	-1,38537	0,005078
8,463916	-1,38537	0,006354
8,473916	-1,386645	0,005078
8,483916	-1,387919	0,002526
8,493916	-1,38537	0,002526
8,503916	-1,38537	0,006354
8,51915	-1,387919	0,002526
8,52915	-1,384095	0,003802
8,53915	-1,387919	0,006354
8,54915	-1,384095	0,002526
8,55915	-1,384095	0,002526
8,56915	-1,38537	0,006354
8,57915	-1,387919	0,006354
8,58915	-1,389194	0,008906
8,59915	-1,38537	0,006354
8,60915	-1,381546	0,006354
8,636765	-1,381546	0,008906
8,646765	-1,387919	0,003802
8,656765	-1,381546	0,008906
8,666765	-1,387919	0,00763
8,676765	-1,387919	0,002526
8,686765	-1,381546	0,006354
8,696765	-1,381546	0,006354
8,706765	-1,384095	0,003802
8,716765	-1,382821	0,006354
8,726765	-1,389194	0,006354
8,747138	-1,382821	0,006354
8,757138	-1,387919	0,006354
8,767138	-1,384095	0,002526
8,777138	-1,384095	0,002526
8,787138	-1,38537	0,008906
8,797138	-1,382821	0,008906
8,807138	-1,38537	0,008906
8,817138	-1,387919	0,006354
8,827138	-1,387919	0,006354
8,837138	-1,387919	0,006354
8,85219	-1,38537	0,00763
8,86219	-1,381546	0,006354
8,87219	-1,381546	0,005078
8,88219	-1,384095	0,003802
8,89219	-1,38537	0,006354
8,90219	-1,381546	0,008906
8,91219	-1,38537	0,003802
8,92219	-1,384095	0,006354
8,93219	-1,389194	0,010181
8,94219	-1,384095	0,006354
8,959676	-1,38537	0,006354
8,969676	-1,384095	0,006354
8,979676	-1,38537	0,003802
8,989676	-1,384095	0,008906
8,999676	-1,387919	0,002526
9,009676	-1,38537	0,002526
9,019676	-1,387919	0,006354
9,029676	-1,387919	0,006354
9,039676	-1,384095	0,008906
9,049676	-1,387919	0,005078
9,077022	-1,387919	0,002526
9,087022	-1,387919	0,002526
9,097022	-1,384095	0,006354
9,107022	-1,387919	0,006354
9,117022	-1,387919	0,00763
9,127022	-1,386645	0,002526
9,137022	-1,387919	0,002526
9,147022	-1,38537	0,010181
9,157022	-1,389194	0,006354
9,167022	-1,386645	0,002526
