t [s]	Ux [V]	Uy [V]
5,753026	-1,387919	0,006354
5,763026	-1,389194	0,008906
5,773026	-1,387919	0,002526
5,783026	-1,384095	0,008906
5,793026	-1,38537	0,008906
5,803026	-1,387919	0,003802
5,813026	-1,384095	0,008906
5,823026	-1,391743	0,006354
5,833026	-1,386645	0,008906
5,850607	-1,387919	0,006354
5,860607	-1,384095	0,008906
5,870607	-1,391743	0,002526
5,880607	-1,387919	0,006354
5,890607	-1,386645	0,006354
5,900607	-1,382821	0,008906
5,910607	-1,390468	0,002526
5,920607	-1,386645	0,006354
5,930607	-1,382821	0,010181
5,940607	-1,384095	0,008906
5,968362	-1,384095	0,008906
5,978362	-1,391743	0,00763
5,988362	-1,384095	0,006354
5,998362	-1,384095	0,006354
6,008362	-1,390468	0,008906
6,018362	-1,391743	0,006354
6,028362	-1,390468	0,002526
6,038362	-1,386645	0,003802
6,048362	-1,386645	0,006354
6,058362	-1,386645	0,006354
6,070825	-1,391743	0,003802
6,080825	-1,387919	0,002526
6,090825	-1,386645	0,002526
6,100825	-1,384095	0,005078
6,110825	-1,387919	0,008906
6,120825	-1,387919	0,005078
6,130825	-1,38537	0,00763
6,140825	-1,386645	0,006354
6,150825	-1,384095	0,006354
6,160825	-1,387919	0,010181
6,179227	-1,390468	0,003802
6,189227	-1,386645	0,006354
6,199227	-1,386645	0,008906
6,209227	-1,391743	0,006354
6,219227	-1,384095	0,008906
6,229227	-1,390468	0,003802
6,239227	-1,384095	0,008906
6,249227	-1,387919	0,006354
6,259227	-1,390468	0,002526
6,269227	-1,384095	0,006354
6,288007	-1,384095	0,010181
6,298007	-1,38537	0,008906
6,308007	-1,387919	0,003802
6,318007	-1,390468	0,002526
6,328007	-1,386645	0,006354
6,338007	-1,386645	0,00763
6,348007	-1,387919	0,006354
6,358007	-1,387919	0,006354
6,368007	-1,391743	0,006354
6,378007	-1,384095	0,010181
6,406552	-1,391743	0,002526
6,416552	-1,390468	0,002526
6,426552	-1,390468	0,002526
6,436552	-1,384095	0,006354
6,446552	-1,384095	0,006354
6,456552	-1,387919	0,005078
6,466552	-1,390468	0,003802
6,476552	-1,391743	0,006354
6,486552	-1,387919	0,002526
6,496552	-1,387919	0,006354
6,51982	-1,386645	0,006354
6,52982	-1,384095	0,006354
6,53982	-1,389194	0,00763
6,54982	-1,386645	0,002526
6,55982	-1,384095	0,010181
6,56982	-1,387919	0,005078
6,57982	-1,38537	0,006354
6,58982	-1,384095	0,010181
6,59982	-1,390468	0,003802
6,60982	-1,387919	0,005078
6,634155	-1,387919	0,006354
6,644155	-1,390468	0,006354
6,654155	-1,387919	0,002526
6,664155	-1,387919	0,003802
6,674155	-1,386645	0,006354
6,684155	-1,384095	0,006354
6,694155	-1,390468	0,002526
6,704155	-1,390468	0,003802
6,714155	-1,387919	0,005078
6,724155	-1,384095	0,008906
6,738323	-1,391743	0,002526
6,748323	-1,387919	0,006354
6,758323	-1,384095	0,008906
6,768323	-1,391743	0,002526
6,778323	-1,387919	0,003802
6,788323	-1,384095	0,008906
6,798323	-1,391743	0,003802
6,808323	-1,387919	0,002526
6,818323	-1,384095	0,006354
6,828323	-1,384095	0,010181
6,841663	-1,389194	0,006354
6,851663	-1,387919	0,008906
6,861663	-1,390468	0,00763
6,871663	-1,391743	0,003802
6,881663	-1,390468	0,002526
6,891663	-1,384095	0,010181
6,901663	-1,38537	0,010181
6,911663	-1,391743	0,003802
6,921663	-1,384095	0,006354
6,931663	-1,390468	0,005078
6,944675	-1,387919	0,006354
6,954675	-1,384095	0,008906
6,964675	-1,391743	0,002526
6,974675	-1,391743	0,002526
6,984675	-1,384095	0,006354
6,994675	-1,387919	0,008906
7,004675	-1,391743	0,006354
7,014675	-1,384095	0,008906
7,024675	-1,389194	0,008906
7,034675	-1,387919	0,003802
7,050812	-1,387919	0,006354
7,060812	-1,390468	0,006354
7,070812	-1,387919	0,008906
7,080812	-1,389194	0,006354
7,090812	-1,387919	0,006354
7,100812	-1,384095	0,008906
7,110812	-1,384095	0,008906
7,120812	-1,38537	0,006354
7,130812	-1,386645	0,006354
7,140812	-1,384095	0,008906
7,158763	-1,384095	0,008906
7,168763	-1,390468	0,002526
7,178763	-1,384095	0,006354
7,188763	-1,387919	0,008906
7,198763	-1,390468	0,002526
7,208763	-1,386645	0,006354
7,218763	-1,38537	0,008906
7,228763	-1,390468	0,006354
7,238763	-1,386645	0,006354
7,248763	-1,384095	0,005078
7,267848	-1,387919	0,005078
7,277848	-1,390468	0,003802
7,287848	-1,384095	0,006354
7,297848	-1,384095	0,006354
7,307848	-1,38537	0,008906
7,317848	-1,386645	0,006354
7,327848	-1,390468	0,002526
7,337848	-1,386645	0,002526
7,347848	-1,387919	0,006354
7,357848	-1,386645	0,006354
7,371708	-1,384095	0,008906
7,381708	-1,391743	0,002526
7,391708	-1,384095	0,008906
7,401708	-1,387919	0,005078
7,411708	-1,386645	0,008906
7,421708	-1,390468	0,005078
7,431708	-1,389194	0,005078
7,441708	-1,382821	0,006354
7,451708	-1,391743	0,00763
7,461708	-1,386645	0,006354
7,480211	-1,387919	0,005078
7,490211	-1,390468	0,002526
7,500211	-1,384095	0,006354
7,510211	-1,387919	0,008906
7,520211	-1,390468	0,006354
7,530211	-1,386645	0,006354
7,540211	-1,387919	0,006354
7,550211	-1,390468	0,003802
7,560211	-1,382821	0,006354
7,570211	-1,384095	0,006354
7,584226	-1,390468	0,003802
7,594226	-1,384095	0,008906
7,604226	-1,386645	0,006354
7,614226	-1,384095	0,008906
7,624226	-1,390468	0,003802
7,634226	-1,38537	0,006354
7,644226	-1,390468	0,006354
7,654226	-1,387919	0,008906
7,664226	-1,387919	0,005078
7,674226	-1,384095	0,006354
7,696792	-1,386645	0,010181
7,706792	-1,387919	0,006354
7,716792	-1,391743	0,006354
7,726792	-1,390468	0,006354
7,736792	-1,387919	0,002526
7,746792	-1,387919	0,008906
7,756792	-1,386645	0,006354
7,766792	-1,390468	0,006354
7,776792	-1,387919	0,008906
7,786792	-1,393017	0,002526
7,80742	-1,390468	0,003802
7,81742	-1,384095	0,008906
7,82742	-1,391743	0,003802
7,83742	-1,384095	0,010181
7,84742	-1,391743	0,006354
7,85742	-1,386645	0,00763
7,86742	-1,38537	0,008906
7,87742	-1,387919	0,008906
7,88742	-1,38537	0,010181
7,89742	-1,387919	0,006354
7,912737	-1,384095	0,008906
7,922737	-1,38537	0,006354
7,932737	-1,390468	0,003802
7,942737	-1,387919	0,006354
7,952737	-1,387919	0,006354
7,962737	-1,384095	0,006354
7,972737	-1,386645	0,008906
7,982737	-1,384095	0,006354
7,992737	-1,390468	0,006354
8,002737	-1,387919	0,006354
8,031792	-1,390468	0,003802
8,041792	-1,384095	0,010181
8,051792	-1,387919	0,006354
8,061792	-1,38537	0,010181
8,071792	-1,387919	0,002526
8,081792	-1,386645	0,008906
8,091792	-1,386645	0,005078
8,101792	-1,384095	0,006354
8,111792	-1,386645	0,002526
